更新日期,#genre#
2025-11-23,https://codeberg.org/alantang/photo/raw/branch/main/Robot.mp4
央视频道,#genre#
CCTV1,http://117.69.43.137:4022/rtp/238.1.78.166:7200$IPV4•线路1
CCTV1,http://14.117.233.31:8688/rtp/239.77.0.119:5146$IPV4•线路2
CCTV1,http://14.117.233.31:8688/rtp/239.77.0.129:5146$IPV4•线路3
CCTV1,http://14.117.233.31:8688/rtp/239.77.0.86:5146$IPV4•线路4
CCTV1,http://14.117.233.31:8688/rtp/239.77.1.144:5146$IPV4•线路5
CCTV1,http://14.117.233.31:8688/rtp/239.77.1.17:5146$IPV4•线路6
CCTV1,http://171.213.234.216:8089/rtp/239.93.0.58:5140$IPV4•线路7
CCTV1,http://183.160.35.31:4022/rtp/238.1.78.166:7200$IPV4•线路8
CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8$IPV4•线路9
CCTV1,http://play.kankanlive.com/live/1661761962676984.m3u8$IPV4•线路10
CCTV1,http://112.123.206.32:808/hls/1/index.m3u8$IPV4•线路11
CCTV1,http://8.138.7.223/【公众号：榴芒电视】/cctv1.m3u8$IPV4•线路12
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8$IPV4•线路13
CCTV1,https://v.lib.tju.edu.cn/liverespath/b455c7a019d404d571655c457e0ee8a9440a7802/319faa5444-0-0-93c6e2d1598737cd82cb99e49c9e22bc/index.m3u8$IPV4•线路14
CCTV1,http://111.43.126.240:9003/hls/13/index.m3u8$IPV4•线路15
CCTV1,http://ygbh.site/php/bfgd.php?id=488$IPV4•线路16
CCTV1,http://ygbh.site/php/bfgd.php?id=201$IPV4•线路17
CCTV1,http://ygbh.site/php/bfgd.php?id=484$IPV4•线路18
CCTV1,http://ygbh.site/php/bfgd.php?id=489$IPV4•线路19
CCTV1,http://sh.lnott.top:880/dx01.m3u8$IPV4•线路20
CCTV1,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv1.flv$IPV4•线路21
CCTV1,http://php.cqshushu.ggff.net/jzb.php?id=cctv1&公众号【医工学习日志】$IPV4•线路22
CCTV2,http://117.69.43.137:4022/rtp/238.1.78.235:7752$IPV4•线路1
CCTV2,http://14.117.233.31:8688/rtp/239.253.43.17:5146$IPV4•线路2
CCTV2,http://14.117.233.31:8688/rtp/239.77.0.137:5146$IPV4•线路3
CCTV2,http://14.117.233.31:8688/rtp/239.77.1.158:5146$IPV4•线路4
CCTV2,http://171.213.234.216:8089/rtp/239.93.1.23:6000$IPV4•线路5
CCTV2,http://183.160.35.31:4022/rtp/238.1.78.235:7752$IPV4•线路6
CCTV2,http://58.57.40.22:9901/tsfile/live/1001_1.m3u8$IPV4•线路7
CCTV2,http://112.123.206.32:808/hls/2/index.m3u8$IPV4•线路8
CCTV2,http://183.11.239.36:808/hls/20/index.m3u8$IPV4•线路9
CCTV2,http://120.76.248.139/live/bfgd/4200000061.m3u8$IPV4•线路10
CCTV2,http://112.46.85.60:8009/hls/502/index.m3u8$IPV4•线路11
CCTV2,http://liveali-tpsdr.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8?wsSecret=763b6f36b8c9cc0562a9a0220290921b&wsTime=1760876425$IPV4•线路12
CCTV2,http://111.43.126.240:9003/hls/14/index.m3u8$IPV4•线路13
CCTV2,http://ygbh.site/php/bfgd.php?id=061$IPV4•线路14
CCTV2,http://sh.lnott.top:880/dx02.m3u8$IPV4•线路15
CCTV2,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv2.flv$IPV4•线路16
CCTV2,http://php.cqshushu.ggff.net/jzb.php?id=cctv2&公众号【医工学习日志】$IPV4•线路17
CCTV3,http://117.69.43.137:4022/rtp/238.1.78.170:7232$IPV4•线路1
CCTV3,http://14.117.233.31:8688/rtp/239.77.0.169:5146$IPV4•线路2
CCTV3,http://14.117.233.31:8688/rtp/239.77.0.175:5146$IPV4•线路3
CCTV3,http://171.213.234.216:8089/rtp/239.93.0.109:5140$IPV4•线路4
CCTV3,http://183.160.35.31:4022/rtp/238.1.78.170:7232$IPV4•线路5
CCTV3,http://58.57.40.22:9901/tsfile/live/1002_1.m3u8$IPV4•线路6
CCTV3,http://gmxw.7766.org:808/hls/91/index.m3u8$IPV4•线路7
CCTV3,http://183.11.239.36:808/hls/91/index.m3u8$IPV4•线路8
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8$IPV4•线路9
CCTV3,http://112.46.85.60:8009/hls/3/index.m3u8$IPV4•线路10
CCTV3,https://tvpull.careryun.com/live/02b04ee89a7bea25b7778c181285fd0b.m3u8?txSecret=7e4ec46581a0e079a32202ea984c8428&txTime=68f4d75a$IPV4•线路11
CCTV3,http://111.43.126.240:9003/hls/15/index.m3u8$IPV4•线路12
CCTV3,http://ygbh.site/php/bfgd.php?id=062$IPV4•线路13
CCTV3,http://sh.lnott.top:880/dx03.m3u8$IPV4•线路14
CCTV3,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv3.flv$IPV4•线路15
CCTV3,http://php.cqshushu.ggff.net/jzb.php?id=cctv3&公众号【医工学习日志】$IPV4•线路16
CCTV4,http://117.69.43.137:4022/rtp/238.1.78.236:7760$IPV4•线路1
CCTV4,http://14.117.233.31:8688/rtp/239.253.43.120:5146$IPV4•线路2
CCTV4,http://14.117.233.31:8688/rtp/239.253.43.121:5146$IPV4•线路3
CCTV4,http://14.117.233.31:8688/rtp/239.77.0.78:5146$IPV4•线路4
CCTV4,http://14.117.233.31:8688/rtp/239.77.1.163:5146$IPV4•线路5
CCTV4,http://14.117.233.31:8688/rtp/239.77.1.166:5146$IPV4•线路6
CCTV4,http://171.213.234.216:8089/rtp/239.93.1.105:5140$IPV4•线路7
CCTV4,http://183.160.35.31:4022/rtp/238.1.78.236:7760$IPV4•线路8
CCTV4,http://58.57.40.22:9901/tsfile/live/1003_1.m3u8$IPV4•线路9
CCTV4,http://183.11.239.36:808/hls/22/index.m3u8$IPV4•线路10
